ABBV,ABT,ADM,ADP,AFL,ALB,AOS,APD,ATO,BDX,BEN,BFB,BRO,CAH,CAT,CB,CHD,CHRW,CINF,CL,CLX,CVX,DOV,Date,ECL,ED,EMR,ESS,EXPD,FRT,GD,GPC,GWW,HRL,IBM,ITW,JNJ,KMB,KO,LEG,LIN,LOW,MCD,MDT,MKC,MMM,NDSN,NEE,NUE,O,PEP,PG,PNR,PPG,ROP,SHW,SJM,SPGI,SWK,SYY,TGT,TROW,WMT,WST,XOM
0.0,0.0,0.3,0.0,0.215,0.0,0.0,0.0,0.45,0.0,0.0,0.1464,0.0,0.0,0.0,0.0,0.178,0.0,0.0,0.0,0.0,1.08,0.355412,2016-11,0.0,0.67,0.48,0.0,0.4,0.0,0.0,0.0,1.22,0.0,1.338432,0.0,0.8,0.0,0.35,0.0,0.0,0.0,0.94,0.0,0.0,1.11,0.0,0.2175,0.0,0.195736,0.753,0.0,0.0,0.4,0.0,0.28,0.75,0.36,0.58,0.0,0.6,0.0,0.0,0.0,0.75
0.0,0.0,0.0,0.57,0.0,0.305,0.0,0.86,0.0,0.712195,0.2,0.0,0.0,0.449,0.0,0.69,0.0,0.45,0.48,0.0,0.0,0.0,0.0,2016-12,0.37,0.0,0.0,1.6,0.0,0.98,0.0,0.658,0.0,0.0,0.0,0.65,0.0,0.92,0.0,0.34,0.75,0.0,0.0,0.43,0.235,0.0,0.27,0.0,0.378,0.196705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.166667,0.0,0.0
0.64,0.265,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.39,0.8,0.0,0.0,2017-01,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204457,0.0,0.67,0.231699,0.0,0.35,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.13,0.0
0.0,0.0,0.32,0.0,0.215,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0675,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,1.08,0.355412,2017-02,0.0,0.69,0.48,0.0,0.0,0.0,0.0,0.0,1.22,0.0,1.338432,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,1.175,0.27,0.24575,0.0,0.204457,0.0,0.0,0.0,0.4,0.0,0.283333,0.75,0.41,0.58,0.0,0.6,0.0,0.0,0.0,0.75
0.0,0.0,0.0,0.57,0.0,0.32,0.0,0.95,0.0,0.712195,0.2,0.1464,0.0,0.449,0.0,0.69,0.0,0.45,0.5,0.0,0.0,0.0,0.0,2017-03,0.37,0.0,0.0,1.75,0.0,0.98,0.0,0.675,0.0,0.0,0.0,0.65,0.0,0.97,0.37,0.34,0.788,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.378,0.204457,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.17,0.0,0.0
0.64,0.265,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.4,0.8,0.0,0.0,2017-04,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.235,0.0,0.0,0.0,0.0,0.204457,0.0,0.69,0.231699,0.0,0.35,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.13,0.0
0.0,0.0,0.32,0.0,0.215,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0675,0.0,0.0,0.0,0.19,0.45,0.0,0.0,0.0,1.08,0.355412,2017-05,0.0,0.69,0.48,0.0,0.42,0.0,0.0,0.0,1.28,0.0,1.434034,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.175,0.27,0.24575,0.0,0.204457,0.805,0.0,0.0,0.4,0.0,0.283333,0.75,0.41,0.0,0.0,0.6,0.0,0.17,0.0,0.77
0.0,0.0,0.0,0.57,0.0,0.32,0.0,0.95,0.0,0.712195,0.2,0.1464,0.0,0.462,0.0,0.71,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2017-06,0.37,0.0,0.0,1.75,0.0,0.98,0.0,0.675,0.0,0.0,0.0,0.65,0.0,0.97,0.37,0.36,0.788,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.378,0.205426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.57,0.0,0.0,0.0
0.64,0.265,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.4,0.84,0.0,0.0,2017-07,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.46,0.235,0.0,0.0,0.0,0.0,0.205426,0.0,0.69,0.231699,0.0,0.35,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.13,0.0
0.0,0.0,0.32,0.0,0.215,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0675,0.0,0.0,0.0,0.19,0.45,0.0,0.0,0.0,1.08,0.379645,2017-08,0.0,0.69,0.48,0.0,0.0,0.0,0.0,0.0,1.28,0.0,1.434034,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,1.175,0.3,0.24575,0.0,0.205426,0.805,0.0,0.0,0.45,0.0,0.283333,0.78,0.41,0.63,0.0,0.62,0.0,0.17,0.0,0.77
